	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_citrativorans|t__SGB11845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01994	0.00508	0.0	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0563	0.0	0.05405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00537	0.01156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.0	0.0	0.00155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_gubbeenense|t__SGB34904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02883	0.07401	0.06055	0.43572	0.08672	0.08124	0.20047	0.09803	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.25301	0.0	2.64142	0.16135	0.44574	0.08479	0.19132	0.35799	0.30856	0.13413	0.01428	0.0589	0.02197	0.01776	0.00515	0.0	0.8031	0.97113	0.21636	0.25191	11.13518	1.42109	2.03822	1.2209	0.32198	0.0	0.0	0.62387	0.05626	0.0	0.0	0.0	0.0	0.00133	0.0001	0.0	0.12479	0.42131	0.22825	0.26098	2.58788	1.1564	0.67136	0.81318	0.0	9e-05
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__GGB49459|s__GGB49459_SGB69381|t__SGB69381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00553	0.0	0.0	0.0	0.0	0.02431	0.00141	0.00019	0.02368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03945	0.0	4.93302	0.00203	0.00065	0.00644	0.03039	0.0	0.0	0.01599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11644	0.0395	0.03378	0.37374	0.01896	0.00295	0.0	0.0	0.0	0.0	0.00374	0.0	0.0	0.0	0.0	0.0	0.00407	0.03419	0.04132	0.0	0.0743	0.166	0.99385	0.00344	0.00729	0.0054	0.00357
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME13|t__SGB69382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.00203	0.0	0.00382	0.00784	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.42372	0.0	0.5179	0.0	0.01946	0.0	0.02437	0.00753	0.0132	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01544	0.11748	0.0	0.00621	0.01219	0.20604	0.01029	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.38002	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_sp_Z12|t__SGB87477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63489	10.93199	0.37236	1.37175	0.08575	0.13932	0.54191	0.03917	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.06729	0.0	0.69783	0.76806	0.97378	0.37877	0.7045	1.27529	0.49753	7.96912	4.43928	4.09941	0.35071	0.14016	0.44475	0.13471	1.41653	3.39357	1.84337	2.19842	0.87463	0.14059	2.27024	2.03871	15.77945	0.10028	0.82435	0.96901	1.22675	6.45196	2.56086	1.16814	1.16544	1.60964	0.6612	0.72073	0.55212	0.29945	0.36362	0.38883	1.93951	0.23002	25.14423	21.02659	3.94158	4.86539
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_tyrofermentans|t__SGB69231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1847	0.06074	0.49382	0.61373	0.05633	0.01896	0.05715	0.01934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00263	0.0	0.05447	0.01408	0.0164	0.0076	0.0081	0.00281	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55651	0.39756	0.00596	0.01422	0.23669	0.08187	1.27365	0.87882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16815	0.13096	0.01746	0.00612	0.05051	0.00456	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_prydzensis|t__SGB30757	0.0	0.0	0.01981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesonia|s__Mesonia_profundi|t__SGB97751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01828	0.00419	0.00355	0.0	0.04171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1996	0.0	0.03289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00538	0.01511	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02089	0.2628	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus|s__Marinilactibacillus_psychrotolerans|t__SGB7876	0.0	0.0	0.00707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02041	0.00933	0.0	0.11716	0.00838	0.02403	0.0	0.14252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.00581	0.0	0.06756	0.02389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08385	0.25151	0.00569	0.17249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00484	0.02845	0.0	0.0	0.00569	0.00071	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_sp_FME5|t__SGB69383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_psychrotolerans|t__SGB10025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02227	0.01408	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_celer|t__SGB10449	0.0	0.0	0.40768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00138	0.00263	0.35174	1.14861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00589	0.0419	0.0043	0.15829	0.0	0.0	0.0	0.0	0.0	0.0092	0.0	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lundensis|t__SGB12101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_namhaensis|t__SGB23002	0.0	0.0	0.06916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.00462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_litoralis|t__SGB23030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04785	0.0	0.03182	0.0	0.0	0.01232	0.01785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_immobilis|t__SGB10451	0.0	0.0	0.01934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Psychrobacter|s__Psychrobacter_alimentarius|t__SGB10455	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_rhombi|t__SGB16742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01628	0.0	0.03214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_SGB69235|t__SGB69235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_malodoratus|t__SGB7932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.43879	0.0	2.06855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01098	0.01653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_ZH18|t__SGB98792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sandarakinum|t__SGB16640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00011	0.00043	3e-05	0.0	0.0	0.0	0.0	0.012	0.01868	0.0	0.00153	0.0	0.0	0.00929	0.02159	0.0	0.0	9e-05	0.00051	0.02283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.00285	0.0	0.0	0.0	0.0	0.03337	0.02835	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__Penicillium_camemberti|t__EUK5075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17263	0.0786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__CFGB92234|o__OFGB92234|f__FGB92234|g__GGB49272|s__GGB49272_SGB69136|t__SGB69136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.49787	10.75503	0.77842	1.3491	1.24097	3.33958	2.40234	3.58875	0.0	0.0	0.0	0.02904	0.0	0.0	0.0	0.0	0.09175	0.0	0.05103	27.51613	14.61163	3.11476	4.91153	18.0014	19.04423	5.80763	4.32033	5.67006	1.04923	0.37905	26.24615	10.59937	8.18068	2.42304	1.32418	6.84888	2.74275	1.6473	2.22922	0.98732	5.35892	2.29425	0.68122	38.47021	5.09433	2.17549	3.83574	2.66326	0.57596	5.48517	3.12334	0.824	2.38714	1.63127	6.6001	2.39869	5.31324	0.77586	5.32005	3.65007	1.55145	1.88785
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei|t__SGB10209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01976	0.0	0.01762	0.0	0.0	0.01293	0.01188	0.0	0.00112	0.00038	0.01131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB49922|s__GGB49922_SGB69917|t__SGB69917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01325	0.0179	0.00013	0.15533	0.12524	0.15065	0.03103	0.52075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02103	0.0	1.53973	0.08509	0.05398	0.31516	1.05	0.03498	0.0452	0.08284	0.03024	0.08134	0.0085	0.00023	0.01567	0.03781	0.00574	0.01445	0.01465	0.3787	0.86733	1.08454	1.16298	0.23681	0.07068	0.12572	0.0345	0.03038	0.01483	0.4152	0.10432	0.03451	0.31376	0.01066	0.0078	1.6686	0.36608	0.47394	0.00519	0.287	0.31632	22.27775	0.03023	0.04483	0.31714	0.10757
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_kanaloae|t__SGB9910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
