sample	LeechJ_2020__ERS3967745	LeechJ_2020__ERS3967744	LeechJ_2020__ERS3967743	LeechJ_2020__ERS3967742	LeechJ_2020__ERS3967741	LeechJ_2020__ERS3967740	LeechJ_2020__ERS3967739	LeechJ_2020__ERS3967738	LeechJ_2020__ERS3967737	LeechJ_2020__ERS3967736	LeechJ_2020__ERS3967735	LeechJ_2020__ERS3967734	LeechJ_2020__ERS3967733	LeechJ_2020__ERS3967732	LeechJ_2020__ERS3967731	LeechJ_2020__ERS3967730	LeechJ_2020__ERS3967729	LeechJ_2020__ERS3967728	LeechJ_2020__ERS3967727	LeechJ_2020__ERS3967726	LeechJ_2020__ERS3967725	LeechJ_2020__ERS3967724	LeechJ_2020__ERS3967723	LeechJ_2020__ERS3967722	LeechJ_2020__ERS3967721	LeechJ_2020__ERS3967720	LeechJ_2020__ERS3967719	LeechJ_2020__ERS3967718	LeechJ_2020__ERS3967717	LeechJ_2020__ERS3967716	LeechJ_2020__ERS3967715	LeechJ_2020__ERS3967714	LeechJ_2020__ERS3967713	LeechJ_2020__ERS3967712	LeechJ_2020__ERS3967711	LeechJ_2020__ERS3967710	LeechJ_2020__ERS3967709	LeechJ_2020__ERS3967708	LeechJ_2020__ERS3967707	LeechJ_2020__ERS3967706	LeechJ_2020__ERS3967705	LeechJ_2020__ERS3967704	LeechJ_2020__ERS3967703	LeechJ_2020__ERS3967702	LeechJ_2020__ERS3967701	LeechJ_2020__ERS3967700	LeechJ_2020__ERS3967699	LeechJ_2020__ERS3967698	LeechJ_2020__ERS3967697	LeechJ_2020__ERS3967696	LeechJ_2020__ERS3967695	LeechJ_2020__ERS3967694	LeechJ_2020__ERS3967693	LeechJ_2020__ERS3967692	LeechJ_2020__ERS3967691	LeechJ_2020__ERS3967690	LeechJ_2020__ERS3967689	LeechJ_2020__ERS3967688
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_varians|t__SGB35116	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.09873	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus|t__SGB16676	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.23793	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria|t__SGB16987	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.5582	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__SGB16971_group	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.00367	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_inulinus|t__SGB16047	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.00119	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_keddieii|t__SGB16046	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.00103	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_thoenii|t__SGB35147	0	0	0	0	0	0.13855	0	0	0.02213	0.0	0	7.4106	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	4.55832	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.10013	0.0	0.00125	0.0	0	0	0.01116	0	0	0	0.0	5.24451	0	0.0	0.06496	0.0	0	0	0	0	0	0	0	0.68428	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_granulosum|t__SGB16958	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0154	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.11083	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_namnetense|t__SGB16956	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.80047	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_cyclohexanicum|t__SGB15865	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.7899	7.98283	0.88195	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB10008|o__OFGB10008|f__FGB10008|g__GGB71819|s__GGB71819_SGB98816|t__SGB98816	0	0	0	0	0	0.0	0	0	0.0	0.0	0	1.04635	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.00216	0.16325	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB22911|o__OFGB22911|f__FGB22911|g__GGB52421|s__GGB52421_SGB73284|t__SGB73284	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.05313	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB5342|o__OFGB5342|f__FGB5342|g__GGB15717|s__GGB15717_SGB23955|t__SGB23955	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	1.25382	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium|t__SGB94535	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.29628	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.01481	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.06398	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__SGB1836	0	0	0	0	0	0.02006	0	0	0.0	0.00894	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.01756	0	0	0.0218	0.0	0.0	0.0	0	0	0.04665	0	0	0	0.0	0.30892	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814	0.0	0	0	0	0	0.01296	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.02652	0	0	0	0	0	0	0	0	0.04353	0	0	0	0.0	0.22612	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_pasteri|t__SGB2043_group	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.16008	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_278|t__SGB2041	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.09327	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_tannerae|t__SGB1411	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.16015	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1459|t__SGB1459	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.12882	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia|t__SGB1560	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.01508	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1275|o__OFGB1275|f__FGB1275|g__GGB50119|s__GGB50119_SGB70177|t__SGB70177	0.23932	0	0	0	0	0.02137	0	0	0	0.00728	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis|t__SGB2479	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.06757	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri|t__SGB2492_group	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.04959	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena|t__SGB2502_group	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.29973	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_baculatum|t__SGB79028	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.00796	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_johnsoniae|t__SGB2991	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.00219	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_pectinovorum|t__SGB3006	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.00158	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB1832|s__GGB1832_SGB2476|t__SGB2476	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.14636	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_guanonis|t__SGB21682	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.03879	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_injenensis|t__SGB28079	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.06762	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_odoratimimus|t__SGB3063	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.00182	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_indoltheticum|t__SGB2564	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.00716	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_lactis|t__SGB21893	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.00308	0	0	0	0.02562	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_scophthalmum|t__SGB2563	0.0	0	0	0	0	0.0	0	0	0	0.01938	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_sp_RR2_3_20|t__SGB78829	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.06472	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Empedobacter|s__Empedobacter_brevis|t__SGB28071	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.69064	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Empedobacter|s__Empedobacter_falsenii|t__SGB3056	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.25579	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_bovis|t__SGB2548	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	3.30188	0.0	0	0	0	0.0	0.0	0.14801	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella|s__Kaistella_haifensis|t__SGB2641	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.00186	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_nototheniae|t__SGB28283	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_multivorum|t__SGB3156	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.18889	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_siyangense|t__SGB3155	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.27251	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_sp_B16_2022|t__SGB3148	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.37044	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_sp_PM2_P1_29|t__SGB3147	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.7232	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_yanglingense|t__SGB28247	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.00098	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified|o__Candidatus_Gracilibacteria_unclassified|f__Candidatus_Gracilibacteria_unclassified|g__Candidatus_Gracilibacteria_unclassified|s__Candidatus_Gracilibacteria_bacterium_GN02_873|t__SGB3516	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.07512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355|f__FGB4355|g__GGB12789|s__GGB12789_SGB19843|t__SGB19843	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.10839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae|g__GGB12785|s__GGB12785_SGB19827|t__SGB19827_group	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.09895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Alkalihalobacillus|s__Alkalihalobacillus_gibsonii|t__SGB94600	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.12478	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus|t__SGB7703	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.02849	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_subtilis|t__SGB7788	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.00165	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_wiedmannii|t__SGB7700_group	0	0	0	0	4.61555	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_stearothermophilus|t__SGB8344	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.00056	0
